Price ($),Description,Location,Bedrooms,Bathrooms,Unit Type,Parking,Size (sqft),Website
2330.00,"Grand 7½ à Ahuntsic – 4 chambres, garage – Libre 1er novembre","Ahuntsic, Montreal•",4,2.5,Apartment,2,2200,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/grand-7-a-ahuntsic-4-chambres-garage-libre-1er-novembre/1742322422
1500.00,BROSSARD | Charmant 3½ dans Secteur C | Près de tout!,"sector C, Brossard•",1,1,Condo,1,650,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/brossard-charmant-3-dans-secteur-c-pres-de-tout/1742322416
2295.00,Grand 4 ½ au centre-ville de Montréal – Cession de bail,"Gay Village, City of Montréal•",2,1,Condo,2,900,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/grand-4-au-centre-ville-de-montreal-cession-de-bail/1742322293
1570.00,Fully furnished 1 bdr,"Parc-Lafontaine, Montreal•",1,1,Apartment,0,496,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/fully-furnished-1-bdr/1742322209
1450.00,Un mois gratuit!! 4 1/2   2 ch. fermées  Beaubien Rosemont,"La Petite-Patrie, Montréal•",2,1,Duplex/Triplex,0,900,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/un-mois-gratuit-4-1-2-2-ch-fermees-beaubien-rosemont/1742322183
1400.00,"Superbe 4 ½ à louer , Metro Cadilac 2-Bedroom Apartment for rent","Mercier-Ouest / Longue-Pointe, Montreal•",2,1,Apartment,1,800,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/superbe-4-a-louer-metro-cadilac-2-bedroom-apartment-for-rent/1742322091
1550.00,"4.5 Style Condo,  Semi-Meublé 1550$ (28-103)",City of Montréal•,2,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/4-5-style-condo-semi-meuble-1550-28-103/1730578185
1295.00,"3 1/2 Villa St-Germain, Style Condo, Semi-Meublé, 1295$",City of Montréal•,1,1,Apartment,0,N/A,https://www.kijiji.ca/v-apartments-condos/ville-de-montreal/3-1-2-villa-st-germain-style-condo-semi-meuble-1295/1650788577
1800.00,Un 5 et 1/2 à Boucherville à louer,"Boucherville, Boucherville•",3,1,Apartment,1,1000,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/un-5-et-1-2-a-boucherville-a-louer/1742321835
1300.00,"Longueuil, 4 ½ - $1300/month - Balcony. 2950 Mazenod Street","Sacré-Coeur, Longueuil•",2,1,Apartment,1,850,https://www.kijiji.ca/v-apartments-condos/longueuil-rive-sud/longueuil-4-1300-month-balcony-2950-mazenod-street/1742321833
